subject,max train acc,min train acc,mean train acc,max train loss,min train loss,mean train loss,max validation acc,min validation acc,mean validation acc,max validation loss,min validation loss,mean validation loss
P10,0.7564102411270142,0.4732517600059509,0.6883519190607719,1.0071521997451782,0.5404049754142761,0.6519568173341381,0.6230769157409668,0.5396270155906677,0.6066195938772369,0.9559953808784484,0.7650344967842102,0.8048600871296763
P11,0.9493007063865662,0.83793705701828,0.9252638853114584,0.5795003771781921,0.1199514642357826,0.16628157969402227,0.8941724896430969,0.8337995409965515,0.886234923808471,0.401795893907547,0.2269356995820999,0.2466074202695618
P05,0.7952214479446411,0.4793706238269806,0.7333667791427526,0.980554461479187,0.4808983504772186,0.5898353808505792,0.6659673452377319,0.5655011534690857,0.6430949151964116,0.9663123488426208,0.7385864853858948,0.7766073780848568
P02,0.8982517719268799,0.6360722780227661,0.867232726980223,0.8995376229286194,0.243161529302597,0.3190426757483607,0.8233100175857544,0.6550116539001465,0.8062603251746275,1.0091471672058103,0.4221236109733581,0.45815361869079113
P03,0.8224941492080688,0.58065265417099,0.7754665158890389,0.8514389395713806,0.3981424868106842,0.4756036809167346,0.7372960448265076,0.6759907007217407,0.7255755050762279,0.7012837529182434,0.5526171922683716,0.5716004919361424
P04,0.9491841197013856,0.8495337963104248,0.9260019927231734,0.5671723484992981,0.1197396367788314,0.16876324646421204,0.8899766802787781,0.8207459449768066,0.8751160697010923,0.4216930270195007,0.2507026791572571,0.28138016324397946
P13,0.802622377872467,0.5917832255363464,0.7638594279865373,0.8368728756904602,0.4332887232303619,0.49629117544635093,0.7452214360237122,0.6617715358734131,0.7337174398733595,0.7027899026870728,0.5454911589622498,0.5646334661309701
P14,0.776456892490387,0.4919580519199371,0.7096625850347895,0.9952991604804992,0.5089312791824341,0.6247143932306285,0.6694638729095459,0.5757575631141663,0.6457579627172964,0.9312782287597656,0.7254765629768372,0.7574250389447971
P15,0.944347321987152,0.8474941849708557,0.92189365378954,0.5932950973510742,0.1317754685878753,0.182879286719539,0.880652666091919,0.7927739024162292,0.8695108528593097,0.450722724199295,0.2620441913604736,0.2884785172551177
P12,0.8168414831161499,0.5219114422798157,0.7736104632601326,0.8901350498199463,0.396243542432785,0.4603263979340777,0.7172493934631348,0.5724941492080688,0.7017617777541831,0.7535229325294495,0.5561169981956482,0.5899641293066519
P01,0.8325175046920776,0.4272144436836242,0.7187663853942574,1.0172361135482788,0.4075675308704376,0.59646700295535,0.6223776340484619,0.4440559446811676,0.5862531401120223,1.0874265432357788,0.8248220086097717,0.8939070935373182
P06,0.9460372924804688,0.8487762212753296,0.9289031202656373,0.5762211084365845,0.1225755363702774,0.15459738727519634,0.9060605764389038,0.8293706178665161,0.8933633287945888,0.4276357889175415,0.1971810907125473,0.21650964865214803
P08,0.8360722661018372,0.5471445322036743,0.8021824317319053,0.8679636716842651,0.3694346845149994,0.43070887618667475,0.7699300646781921,0.6587412357330322,0.7592862256608166,0.7309540510177612,0.5064152479171753,0.5307393154272666
P09,0.7583333253860474,0.4484848380088806,0.6810765116406767,1.0122895240783691,0.5300583839416504,0.6454479490350556,0.6172494292259216,0.4834498763084411,0.5877963931235157,1.0313063859939575,0.7916558384895325,0.8255798568661581
P07,0.8202214241027832,0.4919580519199371,0.7477968107580467,0.9983588457107544,0.4327585995197296,0.5586790764533109,0.6627039909362793,0.5545454621315002,0.6349624104616118,1.0322973728179932,0.7647698521614075,0.8126620494849687
